MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,FLUX_V,FLUX_B,OTYPE,SCRIPT_NUMBER_ID,distance_pc,M_V,luminosity,B-V,temperature_K
BD+44   372,01 48 23.4939,+44 49 27.154,14,14,0.1165,0.0959,90,A,O,2020yCat.1350....0G,1.954,9.61,10.43,Star,0,0.5117707267144319,16.06462279691377,2.9522347046960112e-05,0.8200000000000003,5221.100154359166
HD  10765,01 46 20.1718,+44 38 48.620,14,14,0.2595,0.2312,90,A,O,2020yCat.1350....0G,2.9147,8.55,8.85,**,0,0.34308848251964186,15.872969304824384,3.5221859315575925e-05,0.29999999999999893,7461.863794100643
BD+43   368,01 47 52.5531,+44 40 00.675,14,14,0.0159,0.0125,90,A,O,2020yCat.1350....0G,4.0115,9.92,10.47,Star,0,0.2492833104823632,17.936533982692566,5.264854905356612e-06,0.5500000000000007,6170.479670332322
HD  11012,01 49 17.5821,+47 16 05.167,14,14,0.0229,0.0215,90,A,O,2020yCat.1350....0G,8.4728,8.12,8.44,Star,0,0.11802473798508169,17.760134775146938,6.193641870812044e-06,0.3200000000000003,7337.079254984821
BD+46   462,01 51 04.2024,+47 08 39.022,14,14,0.0203,0.019,90,A,O,2020yCat.1350....0G,6.0339,9.99,10.61,Star,0,0.1657302905251993,18.892990541617728,2.1817439651506346e-06,0.6199999999999992,5890.322012321264
HD  11252,01 51 37.2945,+47 05 12.022,14,14,0.0181,0.0203,90,A,O,2020yCat.1350....0G,7.3467,7.48,8.37,HighPM*,0,0.13611553486599426,16.810461529693725,1.4853041282255751e-05,0.8899999999999988,5023.375177795591
BD+45   435,01 45 24.9356,+46 15 51.741,14,14,0.0186,0.015,90,A,O,2020yCat.1350....0G,2.3072,9.88,10.12,Star,0,0.43342579750346744,16.695426215196676,1.651313433516517e-05,0.23999999999999844,7865.815504244001
BD+45   458,01 50 14.5838,+46 18 49.864,14,14,0.0207,0.0195,90,A,O,2020yCat.1350....0G,2.2251,8.58,9.8,Star,0,0.44941800368522766,15.316747668657285,5.87896578353293e-05,1.2200000000000006,4269.855325050129
BD+45   459,01 50 44.3581,+46 23 27.832,14,14,0.0218,0.0181,90,A,O,2020yCat.1350....0G,1.4401,8.62,10.19,Star,0,0.6943962224845497,14.411963251935598,0.00013527411434100135,1.5700000000000003,3691.168542872439
BD+45   461,01 51 17.7995,+46 26 57.171,14,14,0.015,0.0124,90,A,O,2020yCat.1350....0G,6.1871,9.1,9.52,Star,0,0.16162661020510416,18.057435677156107,4.710052295821904e-06,0.41999999999999993,6775.501819033036
