MAIN_ID,RA,DEC,RA_PREC,DEC_PREC,COO_ERR_MAJA,COO_ERR_MINA,COO_ERR_ANGLE,COO_QUAL,COO_WAVELENGTH,COO_BIBCODE,PLX_VALUE,FLUX_V,FLUX_B,OTYPE,SCRIPT_NUMBER_ID
HD 206482,21 40 21.4476,+57 34 53.637,14,14,0.0159,0.0164,90,A,O,2020yCat.1350....0G,9.75,7.4,7.86,HighPM*,0
HD 239734,21 41 01.5710,+57 08 18.648,14,14,0.019,0.0208,90,A,O,2020yCat.1350....0G,6.1968,8.61,9.58,Star,0
HD 239696,21 33 24.9990,+56 33 35.130,14,14,0.0142,0.0152,90,A,O,2020yCat.1350....0G,1.1974,9.19,11.01,Star,0
HD 239702,21 34 34.3416,+56 32 48.049,8,8,34.03,25.61,0,C,,1998A&A...335L..65H,,9.76,10.69,SB*,0
Cl Trumpler   37   182,21 40 09.9348,+57 11 43.512,14,14,0.0134,0.0147,90,A,O,2020yCat.1350....0G,1.3691,9.45,11.25,Star,0
HD 206267,21 38 57.6195,+57 29 20.554,14,14,0.1824,0.2228,90,A,O,2020yCat.1350....0G,1.3604,5.62,5.83,YSO,0
HD 239683,21 29 53.4617,+57 48 57.166,14,14,0.0115,0.0121,90,A,O,2020yCat.1350....0G,1.0857,9.32,9.62,Star,0
HD 204827,21 28 57.7592,+58 44 23.238,14,14,0.0928,0.0972,90,A,O,2020yCat.1350....0G,1.0765,7.94,8.74,SB*,0
BD+58  2292,21 34 42.7042,+58 39 02.703,14,14,0.0139,0.0151,90,A,O,2020yCat.1350....0G,0.8033,9.92,10.24,Star,0
BD+58  2294,21 35 24.0150,+58 45 10.375,14,14,0.0114,0.0111,90,A,O,2020yCat.1350....0G,1.0619,9.9,10.22,YSO,0
BD+56  2567,21 23 19.0628,+57 33 14.551,14,14,0.0105,0.0099,90,A,O,2020yCat.1350....0G,3.4864,9.7,10.27,Star,0
BD+56  2572,21 25 56.7870,+56 55 21.413,14,14,0.0152,0.0173,90,A,O,2020yCat.1350....0G,1.5382,9.94,11.33,Star,0
BD+56  2591,21 32 52.0119,+56 58 38.092,14,14,0.0279,0.0297,90,A,O,2020yCat.1350....0G,1.2973,9.51,9.93,Star,0
BD+57  2347,21 33 29.4833,+57 40 31.950,14,14,0.012,0.0122,90,A,O,2020yCat.1350....0G,1.0527,9.79,10.18,YSO,0
BD+57  2350,21 34 17.7265,+57 43 00.913,14,14,0.0148,0.0155,90,A,O,2020yCat.1350....0G,3.6975,9.8,10.82,Star,0
BD+57  2356,21 38 30.3028,+57 46 26.472,14,14,0.0881,0.088,90,A,O,2020yCat.1350....0G,1.699,9.47,9.97,YSO,0
BD+57  2363,21 40 09.0780,+58 00 50.064,14,14,0.013,0.0115,90,A,O,2020yCat.1350....0G,1.0533,9.64,9.98,YSO,0
